 
 
 
Job Number: 19-D0966 WL 0494109             State/Country: AB                                                                       
Company: Ridgeback Resources                Declination: 14.10°                         
Lease/Well: Ridgeback Hz Lochend            Grid: True                                  
Location: 7-13-26-3                         File name: C:\WINSERVE\966-SP1.SVY          
Rig Name: Horizon 23                        Date/Time: 09-Nov-19 / 01:10                
RKB: 1224.69                                Curve Name: Surveys                         
G.L. or M.S.L.: 1219                        
 
 
 
                            Pacesetter Directional Drilling                             
 
 
 
                              WINSERVE SURVEY CALCULATIONS                              
                                Minimum Curvature Method                                
                            Vertical Section Plane   286.63                             
      Vertical Section Referenced to offset from Wellhead: EW =.00  m , NS=.00  m       
                     Rectangular Coordinates Referenced to Wellhead                     
 
 
 
 Measured     Incl       Drift      True                           Vertical    Dogleg     Subsea   
   Depth      Angle    Direction  Vertical      N-S        E-W      Section   Severity      TVD    
  Meters       Deg        Deg       Depth     Meters     Meters     Meters     Deg/30m    Meters   
                                                                                        
    2774.03      92.25     283.74    2090.86     730.19    -741.43     919.39       2.07    -866.17
    2783.70      92.82     282.85    2090.43     732.42    -750.83     929.04       3.28    -865.74
    2793.38      92.67     283.48    2089.97     734.62    -760.25     938.69       2.00    -865.28
                                                                                        
    2802.92      92.27     283.21    2089.56     736.82    -769.52     948.20       1.52    -864.87
    2812.52      90.95     282.43    2089.29     738.95    -778.88     957.78       4.79    -864.60
    2822.02      90.12     281.76    2089.20     740.94    -788.17     967.25       3.37    -864.51
    2831.55      89.88     281.57    2089.20     742.86    -797.50     976.74        .96    -864.51
    2841.22      89.36     280.16    2089.26     744.69    -806.99     986.36       4.66    -864.57
                                                                                        
    2850.93      90.09     279.68    2089.31     746.36    -816.56     996.01       2.70    -864.62
                                                                                        
                                                                                        
                                        PAGE - 6                                        
                                                                                        
                                                                                        
                                                                                        
                                                                                        
                                                                                        
                                                                                        
                                                                                        
                                                                                        
                                                                                        
                                                                                        
 Measured     Incl       Drift      True                           Vertical    Dogleg     Subsea   
   Depth      Angle    Direction  Vertical      N-S        E-W      Section   Severity      TVD    
  Meters       Deg        Deg       Depth     Meters     Meters     Meters     Deg/30m    Meters   
                                                                                        
    2860.45      90.80     280.33    2089.24     748.01    -825.93    1005.46       3.03    -864.55
    2869.94      90.92     279.19    2089.09     749.62    -835.29    1014.88       3.62    -864.40
    2879.39      90.92     278.54    2088.94     751.08    -844.62    1024.24       2.06    -864.25
    2888.94      90.47     277.83    2088.83     752.44    -854.07    1033.69       2.64    -864.14
    2898.56      90.54     277.78    2088.74     753.74    -863.60    1043.20        .27    -864.05
                                                                                        
    2908.19      90.61     277.00    2088.64     754.98    -873.15    1052.70       2.44    -863.95
    2917.68      89.83     276.74    2088.61     756.12    -882.57    1062.05       2.60    -863.92
    2927.03      88.89     275.40    2088.71     757.11    -891.87    1071.24       5.25    -864.02
    2936.68      88.18     273.97    2088.96     757.89    -901.49    1080.68       4.96    -864.27
    2946.17      88.17     272.44    2089.26     758.42    -910.96    1089.91       4.83    -864.57
                                                                                        
    2955.70      89.02     272.54    2089.49     758.84    -920.47    1099.14       2.69    -864.80
    2965.27      90.42     271.91    2089.54     759.21    -930.04    1108.41       4.81    -864.85
    2974.89      90.77     269.82    2089.44     759.35    -939.65    1117.67       6.61    -864.75
End Of Turn                                                                             
    2984.41      90.72     268.31    2089.32     759.20    -949.17    1126.75       4.76    -864.63
    2993.97      90.72     268.09    2089.20     758.90    -958.73    1135.81        .69    -864.51
                                                                                        
    3003.44      91.00     268.52    2089.06     758.62    -968.19    1144.80       1.63    -864.37
    3012.90      91.06     268.34    2088.89     758.36    -977.65    1153.79        .60    -864.20
    3022.42      91.36     268.06    2088.68     758.06    -987.16    1162.82       1.29    -863.99
    3031.98      91.25     267.00    2088.47     757.65    -996.71    1171.85       3.34    -863.78
    3041.45      90.07     267.78    2088.36     757.22   -1006.17    1180.79       4.48    -863.67
                                                                                        
    3051.05      90.21     269.09    2088.33     756.96   -1015.76    1189.91       4.12    -863.64
    3060.55      89.70     269.67    2088.34     756.85   -1025.26    1198.98       2.44    -863.65
    3070.27      89.96     269.15    2088.37     756.75   -1034.98    1208.27       1.79    -863.68
    3079.98      90.31     269.98    2088.35     756.68   -1044.69    1217.55       2.78    -863.66
    3089.60      90.41     269.70    2088.29     756.65   -1054.31    1226.76        .93    -863.60
                                                                                        
    3099.14      89.25     270.18    2088.31     756.64   -1063.85    1235.90       3.95    -863.63
    3108.69      88.30     270.65    2088.52     756.71   -1073.40    1245.06       3.33    -863.83
    3118.33      89.54     271.66    2088.70     756.91   -1083.03    1254.35       4.98    -864.01
    3127.95      88.83     271.14    2088.84     757.14   -1092.65    1263.63       2.74    -864.15
    3137.50      87.18     270.34    2089.17     757.26   -1102.19    1272.81       5.76    -864.48
                                                                                        
