Depth	Gamma
2488.80	72.00
2489.00	70.60
2489.20	70.53
2489.40	72.40
2489.60	73.60
2489.80	74.40
2490.00	76.40
2490.20	77.07
2490.40	76.80
2490.60	75.20
2490.80	74.10
2491.00	73.50
2491.20	73.68
2491.40	74.64
2491.60	75.60
2491.80	76.40
2492.00	76.80
2492.20	76.80
2492.40	76.80
2492.60	76.80
2492.80	74.40
2493.00	74.67
2493.20	73.20
2493.40	81.60
2493.60	75.60
2493.80	80.00
2494.00	82.80
2494.20	77.60
2494.40	78.80
2494.60	75.60
2494.80	74.00
2495.00	74.80
2495.20	76.13
2495.40	77.09
2495.60	77.66
2495.80	78.23
2496.00	78.80
2496.20	78.80
2496.40	79.87
2496.60	82.00
2496.80	81.47
2497.00	81.20
2497.20	81.20
2497.40	81.20
2497.60	78.27
2497.80	78.80
2498.00	79.07
2498.20	78.00
2498.40	78.00
2498.60	78.40
2498.80	79.20
2499.00	80.00
2499.20	81.07
2499.40	81.44
2499.60	81.12
2499.80	80.80
2500.00	79.40
2500.20	79.60
2500.40	79.40
2500.60	78.80
2500.80	78.40
2501.00	78.00
2501.20	77.30
2501.40	77.50
2501.60	78.00
2501.80	78.80
2502.00	78.34
2502.20	77.89
2502.40	77.43
2502.60	77.40
2502.80	78.80
2503	78.8
2503.2	79.2
2503.4	77.2
2503.6	78
2503.8	75.6
2504	77.6
2504.2	80
2504.4	78.8
2504.6	78
2504.8	77.6
2505	72.4
2505.2	75.2
2505.4	77.47
2505.6	78
2505.8	79.07
2506	79.07
2506.2	78
2506.4	78
2506.6	78
2506.8	82
2507	82.4
2507.2	82.2
2507.4	80.88
2507.6	79.44
2507.8	78
2508	78.7
2508.2	78.5
2508.4	78.3
2508.6	78.1
2508.8	77.2
2509	75.6
2509.2	75.4
2509.4	75.2
2509.6	76.8
2509.8	78.4
2510	79.2
2510.2	81.2
2510.4	81.6
2510.6	82.4
2510.8	83.4
2511	83.5
2511.2	82.5
2511.4	82.27
2511.6	82.8
